tid,views,replies
282188,635,2
207300,269,11
207302,478,10
207303,913,17
207304,327,13
207305,155,4
207311,492,3
207313,591,1
207316,125,6
207317,1412,8
207318,286,4
207320,179,1
207323,195,1
207325,197,1
207326,304,13
207329,139,1
207330,220,1
207334,219,2
207335,111,5
207340,119,6
207343,112,2
207345,164,10
207347,458,1
207348,134,2
207350,174,12
207352,103,7
207353,1275,40
207359,202,6
207360,241,1
207361,570,2
207362,128,9
207363,110,6
207365,289,2
207366,172,7
207367,110,9
207368,588,6
207371,154,3
207374,106,4
207380,1144,4
207381,118,11
207382,171,2
207383,105,1
207384,294,2
207386,141,1
207387,471,4
207388,139,1
207395,127,1
207397,150,4
207398,464,13
207399,643,14
207400,469,11
207403,326,2
207404,518,3
207405,494,20
207407,461,15
207408,3381,7
207409,324,2
207410,200,3
207411,337,6
207412,165,2
207413,244,6
207414,221,4
207415,198,1
207416,188,12
207417,128,5
207435,211,8
207440,1522,20
207441,486,3
207442,229,1
207443,695,3
207444,169,2
207445,265,41
207446,266,14
207447,363,19
207448,285,5
207459,116,3
207466,110,6
207468,115,4
207469,119,3
207470,426,11
207331,1766,14
207473,184,4
207476,159,2
207479,295,2
207481,304,2
207482,163,2
207491,157,13
207495,1190,69
207498,115,9
207499,312,1
207501,317,5
207502,357,10
207503,323,4
207510,408,32
207514,190,3
207515,2018,59
207516,185,3
207518,102,4
207521,544,2
207522,483,7
207525,465,11
207526,328,6
207527,185,9
207528,167,3
207534,974,3
207535,463,6
207540,162,5
207542,4530,9
207544,123,26
207545,162,5
207548,204,4
207549,135,2
207551,113,2
207552,145,3
207554,122,2
207555,176,8
207556,109,2
207557,133,3
207558,138,6
207560,202,5
207561,130,1
207562,141,2
207563,122,3
207564,143,1
207565,161,6
207568,248,1
207569,284,1
207577,25393,90
207581,187,5
207582,72934,5087
207583,137,2
207587,200,11
207590,113,3
207600,224,1
207605,445,4
207602,47553,2278
207603,1147,12
207606,191,4
207608,135,16
207611,219,1
207613,1003,16
207614,138,3
207615,715,43
207616,257,1
207620,286,3
207621,260,6
207622,104,1
207623,223,5
207624,399,5
207635,428,4
207639,246,2
207646,213,4
207653,683,9
207654,207,2
207745,101,3
207656,847,6
207657,135,3
207660,880,11
207661,565,1
207662,204,1
207663,316,3
207664,368,3
207665,351,1
282189,750,3
207667,372,1
207668,795,1
207670,176,1
207671,268,2
207672,3908,43
207675,202,7
207676,191,1
207677,395,6
207678,677,35
207679,236,3
207680,376,1
207683,166,1
207685,285,1
207687,166,3
207688,130,2
207690,111,6
207691,1540,143
207694,826,3
207695,615,4
207696,472,9
207697,119,1
207700,1784,3
207702,240,34
207703,491,1
207705,346,7
207706,652,1
207707,375,9
207708,114,12
207710,268,1
207712,362,6
207719,542,30
207725,148,4
207726,197,2
207732,192,1
207735,110,1
207740,123,2
207741,128,7
207742,376,5
207744,341,3
207746,556,19
207747,566,9
207748,182,8
207749,374,21
207752,2042,55
207753,379,14
