tid,views,replies
278578,36301,38
231594,2694,38
277871,11707,38
256537,1516,38
259622,2599,38
301696,1395,38
213394,2031,38
278329,1441,38
289291,2215,38
232258,1116,38
220744,1550,38
221321,1164,38
241464,2638,38
225241,1812,38
243463,2929,37
255343,1421,37
205003,9623,37
205342,2073,37
206176,3014,37
255713,1272,37
302605,4978,37
208934,2390,37
242525,1897,37
253665,3446,37
250849,1117,37
244036,1053,37
213949,7224,37
272036,1086,37
284231,2494,37
216251,1500,37
298895,1946,37
259507,2761,37
287732,2558,37
299309,1107,37
221889,1367,37
241870,3812,37
301723,1187,37
237912,1143,37
286878,1525,37
225575,2258,37
204350,5423,36
237531,1638,36
275276,1812,36
209376,8778,36
284578,1598,36
210830,1445,36
277899,1264,36
212070,10106,36
255345,23557,36
213612,8893,36
300338,1189,36
268249,2290,36
289278,2384,36
240354,2019,36
220781,1801,36
262773,1105,36
297147,1190,36
253822,1019,36
241900,1960,36
223168,9625,36
242928,2580,36
203032,6157,35
298148,1072,35
227638,1970,35
212175,1419,35
299256,1160,35
213495,2225,35
252105,1164,35
256470,4917,35
268250,2883,35
239398,3551,35
256536,1349,35
239449,1103,35
240559,3808,35
275617,2654,35
245941,1036,35
225349,3674,35
256555,1606,34
275719,1185,34
256538,1444,34
257761,2275,34
228545,1917,34
256535,1529,34
245593,1063,34
243215,3270,34
214216,1551,34
266043,2268,34
251384,2696,34
268251,4595,34
217090,1864,34
256761,2137,34
273953,2009,34
290436,1629,34
220546,3597,34
221425,4015,34
222908,1774,34
267128,4971,34
264070,2466,33
251386,1342,33
204509,2849,33
205210,44878,33
205228,1250,33
205540,1234,33
249252,1440,33
207907,2298,33
248381,1335,33
211839,1266,33
212083,1072,33
227928,3699,33
272356,11565,33
215981,1839,33
242512,7271,33
217157,1212,33
266566,1812,33
219351,1162,33
220078,1430,33
241074,31857,33
221781,2297,33
254018,1529,33
224146,6346,33
253439,1064,33
242209,3167,33
301864,2652,33
276785,35243,33
264167,1241,32
275470,1292,32
255835,12039,32
212875,8594,32
301229,6498,32
227716,1213,32
225801,3794,32
239996,1539,32
